CityName,Aws_Id,Lon,Lat,x,y
淮北市,58015,116.33,34.45,33004036,7296086
宿州市,58122,116.98,33.63,33076430,7366235
亳州市,58102,115.77,33.87,32941665,7345747
阜阳市,58203,115.83,32.9,32948348,7428342
蚌埠市,58221,117.3,32.85,33112071,7432585
淮南市,58118,116.52,33.27,33025197,7396903
滁州市,58236,118.25,32.35,33217878,7474929
六安市,58311,116.5,31.73,33022970,7527237
合肥市,58321,117.3,31.78,33112071,7523026
马鞍山市,58336,118.57,31.7,33253518,7529762
芜湖市,58338,118.58,31.15,33254632,7575976
铜陵市,58429,117.85,30.98,33173327,7590226
安庆市,58424,117.05,30.53,33084227,7627874
宣城市,58436,118.98,30.62,33299182,7620353
池州市,58419,117.02,30.1,33080885,7663748
黄山市,58437,118.15,30.13,33206740,7661248
徐州市,58027,117.15,34.28,33095364,7310663
连云港市,58047,119.23,34.25,33327026,7313234
宿迁市,58038,118.78,34.08,33276907,7327790
盐城市,58158,120.48,33.2,33466246,7402857
淮安市,58141,118.93,33.63,33293613,7366235
扬州市,58241,119.45,32.8,33351529,7436826
泰州市,58255,120.57,32.37,33476270,7473238
镇江市,58252,119.47,32.18,33353756,7489293
南京市,58238,118.91,31.93,33291386,7510387
南通市,58259,120.98,32.08,33521934,7497735
常州市,58343,119.98,31.88,33410558,7514601
无锡市,58354,120.35,31.62,33451767,7536495
苏州市,58358,120.43,31.07,33460677,7582684
上海市,58362,121.45,31.4,33574281,7554990
湖州市,58450,120.04,30.87,33417241,7599439
嘉兴市,58464,121.12,30.65,33537527,7617845
杭州市,58448,119.7,30.22,33379373,7653746
绍兴市,58553,120.82,30.05,33504114,7667913
宁波市,58562,121.55,29.78,33585418,7690382
金华市,58549,119.65,29.12,33373804,7745150
台州市,58652,120.72,28.87,33492976,7765839
衢州市,58633,118.9,29.0,33290272,7755085
丽水市,58646,119.92,28.45,33403876,7800527
温州市,58752,120.65,27.78,33485180,7855686
舟山市,58472,122.45,30.73,33685657,7611155
